Company Name|Stock Name|Filing Time|New Product|Product Description
Oracle Corporation|ORCL|2024-06-20|Oracle Fusion Cloud Enterprise Resource Planning (ERP)|A strategic suite of applications foundational to facilitating and extracting more business value out of the adoption of other Oracle SaaS offerings.
Oracle Corporation|ORCL|2024-06-20|Oracle Fusion Cloud Enterprise Performance Management (EPM)|Designed to analyze financial performance, drive accurate and agile financial plans, optimize the financial close and consolidation process, streamline account reconciliation and satisfy an organization's reporting requirements.
Oracle Corporation|ORCL|2024-06-20|Oracle Fusion Cloud Supply Chain and Manufacturing Management (SCM)|Helps organizations create, optimize and digitize their supply chains.
Oracle Corporation|ORCL|2024-06-20|Oracle Fusion Cloud Human Capital Management (HCM)|Designed to help organizations find, develop and retain their talent, enable collaboration, provide workforce insights, improve business process efficiency and enable users to connect to an integrated suite of HCM applications.
Oracle Corporation|ORCL|2024-06-20|Oracle Fusion Sales, Service and Marketing|Modules designed to be complete and integrated solutions to help organizations deliver consistent and personalized customer experiences across their customer channels.
Oracle Corporation|ORCL|2024-06-20|NetSuite Applications Suite|A unified, cloud-based applications suite to run a company's entire business, including financials and ERP, customer relationship management, human resources, professional services and commerce.
Oracle Corporation|ORCL|2024-06-20|Oracle Cerner healthcare applications|Designed to enable medical professionals to deliver better healthcare to individual patients and communities.
Oracle Corporation|ORCL|2024-06-20|Oracle Autonomous Database|Delivers performance and scale for enterprise database workloads with automated database operations and policy- and machine learning-driven optimization.
Oracle Corporation|ORCL|2024-06-20|Oracle MySQL HeatWave|Combines transactions, real-time analytics, machine learning and generative AI in one managed cloud service.
Oracle Corporation|ORCL|2024-06-20|Oracle Exadata Cloud@Customer|Enables customers to run Oracle Autonomous Database and Oracle Database securely in their own data centers behind their firewalls while having the services managed by Oracle.
Oracle Corporation|ORCL|2024-06-20|OCI Dedicated Region|Enables customers to bring a self-contained OCI instance into their data centers while accessing a substantial portfolio of OCI and Oracle Cloud SaaS offerings.
Oracle Corporation|ORCL|2024-06-20|OCI Sovereign Cloud|Allows customers to utilize OCI services while addressing customer latency requirements and restrictions imposed upon customers that operate in certain regulated industries.
Oracle Corporation|ORCL|2024-06-20|Oracle Alloy|Engineered to enable partners to control the commercial and customer experience to address their specific market needs for cloud services.
Oracle Corporation|ORCL|2024-06-20|Oracle Roving Edge Infrastructure|Designed to enable customers to access cloud computing and storage services at the edge of networks and in generally disconnected locations.
Netflix|NFLX|2025-01-27|Ad-Supported Subscription Plan|A lower-priced subscription plan that includes advertisements, aimed at meeting a variety of consumer needs.
Netflix|NFLX|2025-01-27|Games|An expansion of Netflix's entertainment video offering to include games, enhancing the overall user experience.
Netflix|NFLX|2025-01-27|Live Programming|A new feature that allows Netflix to offer live content, further diversifying its content offerings.
Netflix|NFLX|2025-01-27|Consumer Products and Live Experiences|An expansion into consumer products and live experiences to drive growth and enhance member engagement.
Johnson & Johnson|JNJ|2025-02-13|CARVYKTI|A chimeric antigen receptor (CAR)-T-cell therapy for the treatment of patients with relapsed/refractory multiple myeloma.
Johnson & Johnson|JNJ|2025-02-13|TECVAYLI|A ready-to-use bispecific antibody for adults with relapsed or refractory multiple myeloma who have received at least four prior lines of therapy.
Johnson & Johnson|JNJ|2025-02-13|RYBREVANT|In combination with chemotherapy for the first-line treatment of adult patients with advanced non-small cell lung cancer with activating EGFR exon 20 insertion mutations.
Johnson & Johnson|JNJ|2025-02-13|OPSYNVI|A treatment for pulmonary arterial hypertension.
Johnson & Johnson|JNJ|2025-02-13|UPTRAVI|An oral and intravenous, selective IP receptor agonist targeting a prostacyclin pathway in pulmonary arterial hypertension.
Johnson & Johnson|JNJ|2025-02-13|BALVERSA|A treatment for patients with locally advanced or metastatic urothelial carcinoma and selected fibroblast growth factor receptor gene alterations.
Johnson & Johnson|JNJ|2025-02-13|V-Wave|A device focused on developing innovative treatment options for patients with heart failure.
Johnson & Johnson|JNJ|2025-02-13|Ambrx|A clinical-stage biopharmaceutical company with a proprietary synthetic biology technology platform to design and develop next-generation antibody drug conjugates (ADCs).
Johnson & Johnson|JNJ|2025-02-13|Shockwave Medical|Provider of innovative intravascular lithotripsy (IVL) technology for the treatment of calcified coronary artery disease (CAD) and peripheral artery disease (PAD).
AbbVie|ABBV|2025-02-14|Elahere|Elahere (mirvetuximab soravtansine-gynx) is an antibody-drug conjugate (ADC) used to treat certain types of cancer. Elahere is approved in both the United States and the European Union for the treatment of adult patients with FR positive, platinum-resistant epithelial ovarian, fallopian tube, or primary peritoneal cancer, who have received one to three prior systemic treatment regimens.
AbbVie|ABBV|2025-02-14|Epkinly|Epkinly (epcoritamab) is a product used to treat adults with certain types of diffuse large B-cell lymphoma (DLBCL) and high-grade B-cell lymphoma that has recurred or that does not respond to previous treatment after receiving two or more treatments. Epkinly is administered as a subcutaneous injection.
AbbVie|ABBV|2025-02-14|Skyrizi|Skyrizi (risankizumab) is an interleukin-23 (IL-23) inhibitor that selectively blocks IL-23 by binding to its p19 subunit. It is a biologic therapy approved to treat the following autoimmune diseases in North America, the European Union and Japan: plaque psoriasis, psoriatic arthritis, Crohn's disease, and ulcerative colitis.
AbbVie|ABBV|2025-02-14|Rinvoq|Rinvoq (upadacitinib) is an oral, once-daily selective and reversible JAK inhibitor that is approved to treat various inflammatory diseases including rheumatoid arthritis, psoriatic arthritis, atopic dermatitis, and ulcerative colitis.
AbbVie|ABBV|2025-02-14|Juvederm Voluma XC|Juvederm Voluma XC is an injectable filler approved for injection in the temple region to improve moderate to severe temple hollowing in adults over the age of 21.
AbbVie|ABBV|2025-02-14|Produodopa|Produodopa (ABBV-951) is a subcutaneous 24-hour infusion of levodopa-based therapy for the treatment of advanced Parkinson's disease with severe motor fluctuations and hyperkinesia or dyskinesia.
AbbVie|ABBV|2025-02-14|Vyalev|Vyalev (ABBV-951) is a subcutaneous 24-hour infusion of levodopa-based therapy approved for the treatment of motor fluctuations in adults with advanced Parkinson's disease.
AbbVie|ABBV|2025-02-14|Qulipta|Qulipta (atogepant) is a calcitonin gene-related peptide receptor antagonist indicated for the preventive treatment of episodic and chronic migraine in adults.
Home Depot (The)|HD|2025-03-21|SRS Distribution|A leading residential specialty trade distribution company engaged in the distribution of residential and commercial roofing products, complementary building products, landscape supplies, and swimming pool supplies serving the professional roofer, landscaper, and pool contractor.
Coca-Cola Company (The)|KO|2025-02-20|BodyArmor|A line of sports performance and hydration beverages acquired by The Coca-Cola Company, which offers a variety of options for consumers.
Coca-Cola Company (The)|KO|2025-02-20|Jack Daniels & Coca-Cola|A pre-mixed cocktail that combines Jack Daniels whiskey with Coca-Cola, introduced as part of the Company's entry into the alcohol beverage category.
Coca-Cola Company (The)|KO|2025-02-20|Lemon-Dou|A flavored alcohol beverage introduced by The Coca-Cola Company as part of its expansion into the alcohol beverage category.
Coca-Cola Company (The)|KO|2025-02-20|Topo Chico Hard Seltzer|A hard seltzer product launched by The Coca-Cola Company, expanding its portfolio into the alcoholic beverage market.
T-Mobile US|TMUS|2025-01-31|High Speed Internet|A fixed wireless product that utilizes the excess capacity of T-Mobile's nationwide 5G network, providing an alternative to traditional landline internet or broadband service providers.
T-Mobile US|TMUS|2025-01-31|Go5G Plus|A service plan offering unlimited talk, text, and data on T-Mobile's network, including 5G access at no extra cost, scam protection features, and access to the same device offers as new customers.
T-Mobile US|TMUS|2025-01-31|T-Life app|A comprehensive app designed to tap into customer preferences and radically simplify customer experiences in the future.
T-Mobile US|TMUS|2025-01-31|5G Advanced Network Solutions (ANS)|Specialized network solutions aimed at enterprises, leveraging T-Mobile's advanced 5G capabilities.
T-Mobile US|TMUS|2025-01-31|T-Priority|A network slicing solution designed for first responders, providing prioritized access to network resources.
Salesforce|CRM|2025-03-05|Agentforce|Agentforce is the agentic layer of the Salesforce Platform for deploying autonomous AI agents across business functions. It includes a set of tools to create and customize AI agents, as well as a library of ready-to-use skills for various use cases across sales, service, marketing, and commerce.
Chevron Corporation|CVX|2025-02-21|Solar-to-Hydrogen Production Project|Chevron announced its first solar-to-hydrogen production project in Kern County, which will create lower carbon hydrogen through electrolysis, utilizing solar power, land and non-potable produced water from Chevron's existing assets.
Chevron Corporation|CVX|2025-02-21|Advanced Clean Energy Storage Project|Chevron owns a majority interest in ACES Delta, LLC, a joint venture developing the Advanced Clean Energy Storage Project in Delta, Utah. The project, currently under construction, is designed to produce hydrogen made from renewable energy, store that hydrogen in two salt caverns, and deliver it as needed to hydrogen-capable gas turbines to generate power.
Chevron Corporation|CVX|2025-02-21|Geismar Renewable Diesel Plant Expansion|Expansion work at the Geismar renewable diesel plant in Louisiana to increase production capacity from 7,000 to 22,000 barrels per day is in final commissioning stage, with startup expected in the first quarter.
Chevron Corporation|CVX|2025-02-21|Digital Scholar Program|Chevron offers the Digital Scholar Program, preparing employees with advanced technology skills through one-year Master of Science degrees in Engineering and Management.
Cisco|CSCO|2024-09-05|Splunk Acquisition|In March 2023, Cisco completed the acquisition of Splunk Inc., a public cybersecurity and observability company, for approximately $27 billion. This acquisition included significant intangible assets, including customer-related assets and technology.
Merck & Co.|MRK|2025-02-25|Winrevair|A novel activin signaling inhibitor indicated for the treatment of adults with pulmonary arterial hypertension (PAH) to increase exercise capacity, improve WHO functional class and reduce the risk of clinical worsening events.
Merck & Co.|MRK|2025-02-25|Capvaxive|A 21-valent pneumococcal conjugate vaccine designed to help prevent invasive pneumococcal disease and pneumococcal pneumonia caused by certain serotypes in adults.
Philip Morris International|PM|2025-02-06|IQOS|A heat-not-burn product that uses a precisely controlled heating device into which a specially designed and proprietary tobacco unit is inserted and heated to generate an aerosol.
Philip Morris International|PM|2025-02-06|ZYN|A leading brand of nicotine pouches that are available in various flavors and are designed for oral use without combustion.
Philip Morris International|PM|2025-02-06|BONDS by IQOS|A heat-not-burn product that utilizes external resistive heating technology, commercialized in the Philippines and Colombia.
Philip Morris International|PM|2025-02-06|VEEV|A brand of vaping products that are battery-powered devices producing an aerosol by vaporizing a tobacco-free liquid solution.
Abbott Laboratories|ABT|2025-02-21|Lingo|A new over-the-counter continuous glucose monitoring (CGM) system based on Abbott's FreeStyle Libre CGM technology.
Abbott Laboratories|ABT|2025-02-21|Libre Rio|Another new over-the-counter continuous glucose monitoring (CGM) system based on Abbott's FreeStyle Libre CGM technology.
Abbott Laboratories|ABT|2025-02-21|Esprit BTK system|Designed to keep arteries open in people living with peripheral artery disease and deliver a drug to support vessel healing prior to completely dissolving.
Abbott Laboratories|ABT|2025-02-21|TriClip|Provides a minimally invasive treatment option for patients with tricuspid regurgitation, or a leaky tricuspid heart valve.
Abbott Laboratories|ABT|2025-02-21|Aveir dual chamber (DR) leadless pacemaker system|The world's first dual chamber leadless pacemaker system that treats people with abnormal or slow heart rhythms.
Abbott Laboratories|ABT|2025-02-21|Advisor HD Grid X Mapping Catheter, Sensor Enabled|Supports mapping of both pulsed field ablation (PFA) and radiofrequency (RF) ablation cases.
Abbott Laboratories|ABT|2025-02-21|i-STAT traumatic brain injury (TBI) cartridge|A whole blood point-of-care test to help assess mild traumatic brain injury.
Abbott Laboratories|ABT|2025-02-21|GLP systems Track|A new laboratory automation system to help laboratories optimize lab performance by consolidating multiple analytical instruments into a unified workflow.
McDonald's|MCD|2025-02-25|McCrispy Sandwich|The Company plans to offer the McCrispy sandwich in nearly all markets by the end of 2023 and to extend the McCrispy brand into strips and wraps in several markets.
McDonald's|MCD|2025-02-25|Best Burger|A series of operational and formulation changes designed to deliver hotter, juicier, tastier burgers to nearly all markets by the end of 2023.
PepsiCo|PEP|2025-02-04|Sabra Dipping Company|In December, we acquired the Strauss Group's 50% ownership in Sabra Dipping Company, LLC, making it a wholly-owned subsidiary. Sabra makes, markets, distributes, and sells Sabra refrigerated dips and spreads.
PepsiCo|PEP|2025-02-04|Siete|On January 17, 2023, we acquired all of the outstanding equity interest in Siete, a Mexican-American foods business, in a transaction valued at approximately $1.2 billion.
Palantir Technologies|PLTR|2025-02-18|Palantir Artificial Intelligence Platform (AIP)|AIP is designed for customers across the commercial and government sectors, enabling them to derive value from recent breakthroughs in artificial intelligence via the combination of existing software platforms with generative AI models, including large language models (LLMs).
Palantir Technologies|PLTR|2025-02-18|Apollo|Apollo is a cloud-agnostic, single control layer that coordinates ongoing delivery of new features, security updates, and platform configurations, helping to ensure the continuous operation of critical systems.
Palantir Technologies|PLTR|2025-02-18|AIP Bootcamps|AIP bootcamps were introduced to accelerate customer acquisition by allowing customers to experience the platforms through their own use cases in days.
Palantir Technologies|PLTR|2025-02-18|Developer Tier|Introduced in 2023, Developer Tier offers limited access to Foundry and AIP in the United States and select countries, allowing developers to explore, innovate, and develop without significant upfront enterprise costs.
Thermo Fisher Scientific|TMO|2025-02-20|Olink Holding AB (publ)|A Swedish-based provider of next-generation proteomics solutions that enhances capabilities in the high-growth proteomics market with highly differentiated solutions, complementing existing life sciences and mass spectrometry offerings.
Thermo Fisher Scientific|TMO|2025-02-20|The Binding Site Group|A U.K.-based provider of specialty diagnostic assays and instruments to improve the diagnosis and management of blood cancers and immune system disorders, expanding the segment's portfolio with pioneering innovation in diagnostics.
Thermo Fisher Scientific|TMO|2025-02-20|CorEvitas, LLC|A U.S.-based provider of regulatory-grade, real-world evidence for approved medical treatments and therapies, enhancing decision-making and the time and cost of drug development.
Adobe Inc.|ADBE|2025-01-13|Adobe Firefly Services|Adobe Firefly Services help organizations automate content production.
Adobe Inc.|ADBE|2025-01-13|Custom Models|Custom Models enable enterprises to train and customize models to support brand consistency amongst creative and marketing teams.
Adobe Inc.|ADBE|2025-01-13|Firefly Video Model (public beta)|Firefly Video Model enables generative text-to-video and image-to-video.
Adobe Inc.|ADBE|2025-01-13|Firefly Image 3 Foundation Model|Firefly Image 3 Foundation Model allows for faster and higher-quality image generations.
Adobe Inc.|ADBE|2025-01-13|Adobe GenStudio for Performance Marketing|Adobe GenStudio for Performance Marketing is a generative AI-first product that natively integrates Digital Media and Digital Experience offerings, helping enterprises to quickly create on-brand content variations and accelerate their marketing workflows.
Adobe Inc.|ADBE|2025-01-13|Acrobat AI Assistant|Acrobat AI Assistant is a generative AI-powered tool in Adobe Acrobat Pro, Acrobat Standard, and Acrobat Reader that allows users to better and more quickly understand their documents with quick answers and generative AI summaries.
AT&T|T|2025-02-12|AT&T Internet Air (AIA)|A fixed wireless access product that provides internet services delivered over AT&T's 5G wireless network, aimed at residential customers in select locations.
AT&T|T|2025-02-12|Multi-gig services|Broadband services provided through fiber connections that offer multi-gigabit internet speeds.
Walt Disney Company (The)|DIS|2024-11-14|Disney+ Hotstar|A DTC service primarily in India that offers general entertainment, family and sports programming.
