Ticker,Company,CIK,MarketCap
VICI,Vici Properties,0001705696,33897949184
IDXX,Idexx Laboratories,0000874716,33539749888
BRO,Brown & Brown,0000079282,33534105600
ACGL,Arch Capital Group,0000947484,33466830848
WEC,WEC Energy Group,0000783325,33281343488
STZ,Constellation Brands,0000016918,33231990784
GIS,General Mills,0000040704,33090394112
HIG,Hartford (The),0000874766,33042108416
EXR,Extra Space Storage,0001289490,33030146048
IR,Ingersoll Rand,0001699150,32847233024
IQV,IQVIA,0001478242,32692328448
CSGP,CoStar Group,0001057352,32416704512
RMD,ResMed,0000943819,32343052288
WTW,Willis Towers Watson,0001140536,32011294720
DD,DuPont,0001666700,31562698752
LEN,Lennar,0000920760,31262298112
TPL,Texas Pacific Land Corporation,0001811074,30981902336
CAH,Cardinal Health,0000721371,30638069760
LVS,Las Vegas Sands,0001300514,30634858496
EBAY,eBay,0001065088,30350579712
NUE,Nucor,0000073309,30167941120
WAB,Wabtec,0000943452,30069248000
HUM,Humana,0000049071,30065833984
VMC,Vulcan Materials Company,0001396009,30011428864
AVB,AvalonBay Communities,0000915912,29879240704
XYL,Xylem Inc.,0001524472,29858201600
EFX,Equifax,0000033185,29688864768
ROK,Rockwell Automation,0001024478,29622865920
DAL,Delta Air Lines,0000027904,29262077952
EQT,EQT Corporation,0000033213,29244739584
VTR,Ventas,0000740260,29004238848
CNC,Centene Corporation,0001071739,28993771520
RJF,Raymond James Financial,0000720005,28939438080
LYV,Live Nation Entertainment,0001335258,28408408064
K,Kellanova,0000055067,28407824384
MLM,Martin Marietta Materials,0000916076,28332224512
MTB,M&T Bank,0000036270,28269381632
MCHP,Microchip Technology,0000827054,27912806400
MPWR,Monolithic Power Systems,0001280452,27905398784
TSCO,Tractor Supply,0000916365,27831853056
ANSS,Ansys,0001013462,27828570112
DXCM,Dexcom,0001093557,27651026944
AWK,American Water Works,0001410636,27460235264
DTE,DTE Energy,0000936340,27223308288
EQR,Equity Residential,0000906107,26992719872
HPQ,HP Inc.,0000047217,26838753280
CHD,Church & Dwight,0000313927,26818109440
IP,International Paper,0000051434,26637760512
CCL,Carnival,0000815097,26361856000
BR,Broadridge Financial Solutions,0001383312,26342148096
AEE,Ameren,0001002910,26302337024
KEYS,Keysight Technologies,0001601046,25911283712
FITB,Fifth Third Bancorp,0000035527,25607460864
WBD,Warner Bros. Discovery,0001437107,25578598400
MTD,Mettler Toledo,0001037646,25434882048
IRM,Iron Mountain,0001020569,25393907712
DOW,Dow Inc.,0001751788,25231060992
SMCI,Supermicro,0001375365,25205139456
PPG,PPG Industries,0000079879,25189687296
FTV,Fortive,0001659166,25140623360
PPL,PPL Corporation,0000922224,25079848960
DOV,Dover Corporation,0000029905,24940642304
STT,State Street Corporation,0000093751,24739100672
GDDY,GoDaddy,0001609711,24645419008
ROL,"Rollins, Inc.",0000084839,24482416640
TYL,Tyler Technologies,0000860731,24461948928
EL,Estée Lauder Companies (The),0001001250,23899465728
UAL,United Airlines Holdings,0000100517,23719055360
VLTO,Veralto,0001967680,23623792640
CPAY,Corpay,0001175454,23457849344
ATO,Atmos Energy,0000731802,23358412800
LYB,LyondellBasell,0001489393,23349569536
WRB,W. R. Berkley Corporation,0000011544,23341359104
SBAC,SBA Communications,0001034054,23296495616
SW,Smurfit WestRock,0002005951,23096907776
GPN,Global Payments,0001123360,23003527168
FOXA,Fox Corporation (Class A),0001754301,22802399232
FOX,Fox Corporation (Class B),0001754301,22802380800
TDY,Teledyne Technologies,0001094285,22733611008
ADM,Archer Daniels Midland,0000007084,22584606720
CNP,CenterPoint Energy,0001130310,22551715840
DVN,Devon Energy,0001090012,22537250816
VRSN,Verisign,0001014473,22287761408
DRI,Darden Restaurants,0000940944,22236844032
WAT,Waters Corporation,0001000697,22167990272
CDW,CDW,0001402057,22081118208
STE,Steris,0001757898,22052390912
FE,FirstEnergy,0001031296,22035593216
ERIE,Erie Indemnity,0000922621,21908944896
CINF,Cincinnati Financial,0000020286,21907099648
MKC,McCormick & Company,0000063754,21860784128
CBOE,Cboe Global Markets,0001374310,21830367232
ES,Eversource Energy,0000072741,21805367296
HAL,Halliburton,0000045012,21450553344
TSN,Tyson Foods,0000100493,21421506560
EIX,Edison International,0000827052,21361131520
CMS,CMS Energy,0000811156,21268228096
HBAN,Huntington Bancshares,0000049196,21253912576
WY,Weyerhaeuser,0000106535,21237667840
NVR,"NVR, Inc.",0000906163,21196947456
PHM,PulteGroup,0000822416,20960477184
EXPE,Expedia Group,0001324424,20941840384
SYF,Synchrony Financial,0001601712,20840888320
CTRA,Coterra,0000858470,20807831552
TROW,T. Rowe Price,0001113169,20767299584
ZBH,Zimmer Biomet,0001136869,20708524032
BIIB,Biogen,0000875045,20520312832
IFF,International Flavors & Fragrances,0000051253,20342048768
INVH,Invitation Homes,0001687229,20280037376
LII,Lennox International,0001069202,20267620352
ESS,Essex Property Trust,0000920522,20205645824
LH,Labcorp,0000920148,19822671872
HPE,Hewlett Packard Enterprise,0001645590,19821922304
MAA,Mid-America Apartment Communities,0000912595,19408678912
NTRS,Northern Trust,0000073124,19223414784
RF,Regions Financial Corporation,0001281761,19069093888
PTC,PTC Inc.,0000857005,18890868736
NTAP,NetApp,0001002047,18610163712
STLD,Steel Dynamics,0001022671,18549757952
PFG,Principal Financial Group,0001126328,18503589888
DGX,Quest Diagnostics,0001022079,18468958208
DECK,Deckers Brands,0000910521,18452682752
STX,Seagate Technology,0001137789,18361350144
NI,NiSource,0001111711,18346457088
NRG,NRG Energy,0001013871,18315440128
CLX,Clorox,0000021076,18170525696
ON,ON Semiconductor,0001097864,18057889792
HUBB,Hubbell Incorporated,0000048898,17962043392
LUV,Southwest Airlines,0000092380,17839095808
L,Loews Corporation,0000060086,17718614016
PKG,Packaging Corporation of America,0000075677,17717776384
CFG,Citizens Financial Group,0000759944,17690814464
BAX,Baxter International,0000010456,17605015552
LDOS,Leidos,0001336920,17523912704
MOH,Molina Healthcare,0001179929,17480835072
PODD,Insulet Corporation,0001145197,17442758656
KEY,KeyCorp,0000091576,17107257344
SNA,Snap-on,0000091440,17067758592
ARE,Alexandria Real Estate Equities,0001035443,17053023232
GPC,Genuine Parts Company,0000040987,16838420480
TRMB,Trimble Inc.,0000864749,16556549120
DG,Dollar General,0000029534,16461460480
GEN,Gen Digital,0000849399,16455236608
FDS,FactSet,0001013237,16347956224
WST,West Pharmaceutical Services,0000105770,16212680704
UDR,"UDR, Inc.",0000074208,16192514048
EXPD,Expeditors International,0000746515,16163547136
BF.B,Brown–Forman,0000014693,16141613056
HRL,Hormel Foods,0000048465,16068458496
LNT,Alliant Energy,0000352541,15961108480
NWSA,News Corp (Class A),0001564708,15920868352
NWS,News Corp (Class B),0001564708,15920861184
COO,Cooper Companies (The),0000711404,15810598912
OMC,Omnicom Group,0000029989,15721245696
BBY,Best Buy,0000764478,15530141696
JBHT,J.B. Hunt,0000728535,15446235136
FFIV,"F5, Inc.",0001048695,15338971136
ULTA,Ulta Beauty,0001403568,15267218432
EVRG,Evergy,0001711269,15249596416
MAS,Masco,0000062996,15078350848
DPZ,Domino's,0001286681,15046304768
WDC,Western Digital,0000106040,14942518272
EG,Everest Group,0001095073,14930333696
J,Jacobs Solutions,0000052988,14914830336
TPR,"Tapestry, Inc.",0001116132,14840906752
BLDR,Builders FirstSource,0001316835,14709374976
JBL,Jabil,0000898293,14688644096
APTV,Aptiv,0001521332,14629476352
FSLR,First Solar,0001274494,14564713472
BALL,Ball Corporation,0000009389,14500335616
AMCR,Amcor,0001748790,14352227328
ZBRA,Zebra Technologies,0000877212,14344044544
KIM,Kimco Realty,0000879101,14180789248
DOC,Healthpeak Properties,0000765880,14131233792
PNR,Pentair,0000077360,14098445312
TER,Teradyne,0000097210,14027506688
AVY,Avery Dennison,0000008818,13981719552
RL,Ralph Lauren Corporation,0001037038,13913003008
HOLX,Hologic,0000859737,13791675392
IEX,IDEX Corporation,0000832101,13785109504
MRNA,Moderna,0001682852,13535671296
RVTY,Revvity,0000031791,13403253760
DLTR,Dollar Tree,0000935703,13315215360
TXT,Textron,0000217346,13207478272
CF,CF Industries,0001324404,13174719488
REG,Regency Centers,0000910606,13137263616
INCY,Incyte,0000879169,13107381248
SOLV,Solventum,0001964738,12802990080
CPT,Camden Property Trust,0000906345,12640028672
JKHY,Jack Henry & Associates,0000779152,12621506560
POOL,Pool Corporation,0000945841,12543751168
SWK,Stanley Black & Decker,0000093556,12542304256
CAG,Conagra Brands,0000023217,12367361024
ALGN,Align Technology,0001097149,12111958016
TAP,Molson Coors Beverage Company,0000024545,12041967616
AKAM,Akamai Technologies,0001086222,11974332416
JNPR,Juniper Networks,0001043604,11864896512
SJM,J.M. Smucker Company (The),0000091419,11815479296
BXP,"BXP, Inc.",0001037540,11662967808
NDSN,Nordson Corporation,0000072331,11652670464
PAYC,Paycom,0001590955,11564529664
CPB,Campbell Soup Company,0000016732,11503862784
CHRW,C.H. Robinson,0001043277,11417143296
DVA,DaVita,0000927066,11410400256
KMX,CarMax,0001170010,11156652032
VTRS,Viatris,0001792044,11029695488
LKQ,LKQ Corporation,0001065696,11024454656
SWKS,Skyworks Solutions,0000004127,10906275840
PNW,Pinnacle West Capital,0000764622,10865401856
UHS,Universal Health Services,0000352915,10829983744
EPAM,EPAM Systems,0001352010,10763797504
HST,Host Hotels & Resorts,0001070750,10705510400
ALLE,Allegion,0001579241,10694832128
EMN,Eastman Chemical Company,0000915389,10642675712
GL,Globe Life,0000320335,10258851840
AIZ,Assurant,0001267238,10238630912
BEN,Franklin Resources,0000038777,10092895232
IPG,Interpublic Group of Companies (The),0000051644,9819300864
BG,Bunge Global,0001996862,9797079040
WBA,Walgreens Boots Alliance,0001618921,9685031936
TECH,Bio-Techne,0000842023,9522430976
AOS,A. O. Smith,0000091142,9421243392
WYNN,Wynn Resorts,0001174922,9115373568
MGM,MGM Resorts,0000789570,8849225728
CRL,Charles River Laboratories,0001100682,8724245504
HSIC,Henry Schein,0001000228,8684939264
HAS,Hasbro,0000046080,8631388160
ALB,Albemarle Corporation,0000915913,8560489984
DAY,Dayforce,0001725057,8475310592
AES,AES Corporation,0000874761,8421788672
FRT,Federal Realty Investment Trust,0000034903,8380387840
NCLH,Norwegian Cruise Line Holdings,0001513761,8363354624
PARA,Paramount Global,0000813828,8222691328
GNRC,Generac,0001474735,7825529856
MOS,Mosaic Company (The),0001285785,7825224192
MKTX,MarketAxess,0001278021,7800607744
ENPH,Enphase Energy,0001463101,7746904064
MTCH,Match Group,0000891103,7698187264
HII,Huntington Ingalls Industries,0001501585,7502433280
LW,Lamb Weston,0001679273,7318909440
APA,APA Corporation,0001841666,7153857536
MHK,Mohawk Industries,0000851968,7098014720
IVZ,Invesco,0000914208,6825930240
TFX,Teleflex,0000096943,6283588096
BWA,BorgWarner,0000908255,6245615104
CZR,Caesars Entertainment,0001590895,5792195072
CE,Celanese,0001306830,5771636224
FMC,FMC Corporation,0000037785,4973665280
